id,title,description,available_semesters,course_type,category,workload
C1,Разработка на Python. Основной,"Изучение основ синтаксиса Python, базовых структур данных и написание первых скриптов.","1,3,5,7",mandatory,tech,4
C2,Разработка на Python. Углублённый,"Командная разработка, работа с API, FastAPI, создание Telegram-ботов и интеграция с БД.","1,3,5,7",mandatory,tech,4
C3,Разработка на Python. Профессиональный,"Продвинутые архитектурные паттерны, оптимизация производительности и масштабируемые системы.","1,3,5,7",mandatory,tech,4
C4,Архитектура компьютера и ОС,"Изучение низкоуровневого устройства ЭВМ, работы памяти и принципов функционирования ОС.","1,3,5,7",mandatory,stem,4
C5,Основы разработки на Go,"Изучение языка Go, его многопоточности и применения в бэкенд-разработке.","1,3,5,7",elective,tech,4
C6,Базы данных,"Проектирование реляционных БД, SQL запросы, транзакции и индексы.","1,3,5,7",elective,tech,4
C7,Алгоритмы и структуры данных I,"Основы сложности алгоритмов, сортировки, стеки, очереди и деревья.","1,3,5,7",mandatory,stem,4
C8,Теория вероятностей и матстатистика,"Случайные величины, распределения и основы статистического анализа данных.","1,3,5,7",elective,stem,4
C9,Введение в экономику,"Базовые принципы экономики, спрос и предложение, рыночное равновесие.","1,3,5,7",mandatory,business,4
C10,Основы бизнес-аналитики,"Инструменты и методы сбора и анализа бизнес-требований.","1,3,5,7",mandatory,business,4
C11,Основы финансов,"Введение в управление финансами, временная стоимость денег и оценка активов.","1,3,5,7",mandatory,business,4
C12,Микроэкономика I,"Углубленное изучение поведения потребителей и фирм на рынке.","1,3,5,7",mandatory,business,4
C13,Введение в статистику,"Основы описательной статистики и статистического вывода.","1,3,5,7",mandatory,stem,4
C14,Machine Learning,"Классические методы машинного обучения: регрессия, классификация, кластеризация.","1,3,5,7",mandatory,tech,4
C15,Линейная алгебра и геометрия,"Векторы, матрицы, системы линейных уравнений и их применение.","1,3,5,7",mandatory,stem,4
C16,Математический анализ,"Пределы, производные, интегралы и функции нескольких переменных.","1,3,5,7",mandatory,stem,4
C17,Многопоточная синхронизация,"Параллельное программирование, примитивы синхронизации и предотвращение race conditions.","2,4,6,8",mandatory,tech,4
C18,Дискретная математика,"Графы, логика, комбинаторика и их применение в Computer Science.","2,4,6,8",mandatory,stem,4
C19,Информационная безопасность,"Принципы защиты данных, криптография и безопасность сетевых приложений.","2,4,6,8",elective,tech,4
C20,Web-разработка,"Создание современных веб-приложений: frontend (React) и backend составляющие.","2,4,6,8",elective,tech,4
C21,Основы маркетинга,"Стратегии продвижения продуктов, сегментация рынка и брендинг.","2,4,6,8",mandatory,business,4
C22,Теория игр,"Математические модели принятия решений в условиях конфликта интересов.","2,4,6,8",mandatory,business,4
C23,Финансы. Основной уровень,"Управление корпоративными финансами и инвестиционный анализ.","2,4,6,8",mandatory,business,4
C24,Эконометрика I,"Применение статистических методов для анализа экономических данных.","2,4,6,8",mandatory,business,4
C25,Математическая статистика,"Продвинутые методы проверки гипотез и оценивания параметров.","2,4,6,8",mandatory,stem,4
C26,Алгоритмы и структуры данных 2,"Графовые алгоритмы, динамическое программирование и продвинутые структуры.","2,4,6,8",mandatory,stem,4
C27,Deep Learning,"Глубокое обучение, нейронные сети, компьютерное зрение и NLP.","2,4,6,8",mandatory,tech,4
C28,Архитектура компьютера и ОС 2,"Углубленное изучение системного программирования и архитектуры процессоров.","2,4,6,8",mandatory,stem,4
C29,Основы промышленной разработки,"Best practices написания кода, CI/CD, тестирование и код-ревью.","2,4,6,8",mandatory,tech,4
C30,Макроэкономика I,"Изучение экономики на государственном уровне: ВВП, инфляция, безработица.","2,4,6,8",mandatory,business,4
C31,Введение в алгоритмы и СД,"Облегченный курс алгоритмов для студентов бизнес-направлений.","2,4,6,8",mandatory,stem,4
C32,Введение в ИИ,"Обзор технологий искусственного интеллекта и их применения в бизнесе.","2,4,6,8",mandatory,tech,4
C33,Командная работа по Agile,"Методологии гибкой разработки, роли в команде и процессы.","1,3,5,7",mandatory,soft,2
C34,Стресс-менеджмент,"Техники управления эмоциями и личной эффективностью.","1,3,5,7",elective,soft,2
